id,公司名称,关联公司名称,岗位,岗位描述,岗位标签,待遇,学历,所在城市,发布时间
181,华林证券股份有限公司,华林证券股份有限公司,金融工程岗（科技） (职位编号：16),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、负责金融计算引擎开发与维护； 2、负责债券交易策略的研发，总结分析，市场评估等任职要求：1、2022年应届生，本科以上学历，金融工程、数学或物理专业优先；2、有编程基础；3、对金融感兴趣，有竞赛和相关实习经验者优先。,,0.9-1.2万/月,本科,,2021-09-15 00:00:00
182,中国平安财产保险股份有限公司阳江中心支公司,中国平安财产保险股份有限公司阳江中心支公司,实地一体化服务作业岗,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、岗位职责(1)负责车险车物/人伤案件现场查勘，核实事故真实性，判定事故责任及保险责任，指引客户理赔；(2)负责案件损失确定，提供解答客户理赔咨询服务，与客户协商确定理赔方案，指引客户索赔。2、岗位要求(1)本科或以上学历，车辆、机械、医学、金融、保险等相关专业优先；(2)具有汽车制造、维修、车险/非车险理赔经验者优先；(3)具备较强的沟通能力、分析能力和应变能力，有责任心，肯于吃苦耐劳，适应性强。,,4-8千,本科,阳江市,2023-10-25 00:00:00
183,广州视源电子科技股份有限公司,广州视源电子科技股份有限公司,销售主管经理,岗位描述：1、负责教育信息化产品在区域内的销售及品牌推广；2、根据市场营销计划，完成区域销售指标；3、负责开拓新市场，提高产品在区域内的市场占有率；4、负责区域内市场信息的收集及竞争对手的分析；5、负责区域内销售活动的策划和执行。任职要求：1、统招大专及以上学历，1-3年左右教育信息化软硬件产品的销售经验；2、熟悉政府招投标和渠道管理模式；3、有敏锐的市场洞察能力和资源开拓能力，具备良好的用户服务意识；4、具有较强的沟通能力及客情关系维护技巧，具备商机、项目信息的挖掘和分析能力5、具有责任心与事业心，对教育事业拥有情怀，能适应长期性的出差节奏。,ToB（企业/机构）面销/陌拜市场开发及维护客户资源营销经验无团队管理经验,1.2-1.8万·13薪,本科,广州市,2025-03-27
184,上海海希工业通讯股份有限公司,上海海希工业通讯股份有限公司,销售经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        罗格泰克（LogoTek GmbH）是一家专注于工业领域的自动化和信息化的德国公司，在重工业领域特别是冶金行业的物流跟踪及管理系统方面具有20多年的工程经验，利用核心技术把硬件系统和软件系统完美的结合在一起，为客户提供定制的解决方案。罗格泰克的业务范围随着公司的成长逐渐扩大，从最初的行车定位系统，无线数据传输系统，到后来的智能仓库管理系统，自动行车系统，图像识别系统等，能够提供物料的全流程无缝跟踪解决方案。罗格泰克公司是一个国际化运营公司，除欧洲市场外，公司在中国，越南，美国，加拿大和澳大利亚等地也实施了众多项目。2019年， 罗格泰克成为上市企业上海海希工业通讯股份有限公司的控股子公司，更好服务于中国市场。 职位描述：1.负责本公司智能仓储物流系统销售工作； 2.市场推广及客户关系维护2.负责项目投标相关事项， 包括售前方案的准备；3.负责行业研究，竞争分析，及策略制定；4.负责与其他部门、区域的沟通与衔接工作；岗位要求：1. 3年以上大客户销售工作经验；有智能仓储物流系统销售工作经验优先；2. 有较强的表达能力，能独立陈述解决方案；3. 出色的分析解决问题能力，勇于承担工作压力；   4. 熟悉冶金行业，有一定项目管理经验者优先  4. 英文良好，能与外籍同事交流5. 良好的沟通能力和团队合作精神6. 本科及以上学历，物流工程、机电自动化等相关专业优先；熟悉物流的智能化、自动化等技术应用方向,,20-35万/年,本科,松江区,2021-02-25 00:00:00
185,北京中石伟业科技股份有限公司,北京中石伟业科技股份有限公司,模切生产主管,【工作内容】-负责模切生产线的整体运营与管理，确保生产计划的顺利实施；-对模切工艺流程进行优化，提升生产效率与产品质量；-监督生产过程中的质量控制，确保产品符合既定标准；-管理生产团队，包括培训、考核及激励机制，提高团队整体能力；-处理生产过程中出现的问题，及时调整生产策略；-与其他部门协作，确保物料供应、设备维护等工作的协调配合；-定期汇报生产情况及改进措施，为公司决策提供数据支持；【任职要求】-具备良好的沟通协调能力和团队领导力；-熟悉模切生产工艺流程及相关设备操作；-具备一定的质量管理知识，了解ISO9001等相关标准；-能够独立分析和解决问题，具备较强的执行力；-有强烈的责任心和敬业精神，能够承受较大的工作压力；,培训质量管理生产质量控制工艺流程设备维护数据支持产品质量物料供应生产策略,1-1.2万,大专,无锡市,2025-05-14
186,上海银行股份有限公司,上海银行股份有限公司,大数据工程师（实习岗）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、负责数据仓库、ETL开发，持续构建和优化数据仓库及数据相关系统的建设与维护；    2、负责实时处理系统的设计和开发工作；     3、承担大数据基础架构平台的建设，不断研究和应用生态圈新技术，保障平台服务的稳定性和可用性；    4、承担大数据平台的整体数据架构设计，参与分布式数据仓库、海量数据批处理平台、实时数据处理平台等系统的建设；    5、承担企业数据中台建设，参与数据开发平台、数据管理平台、企业知识图谱的建设；,大数据,100元/天,本科,浦东新区,2020-04-27 00:00:00
187,广州安必平医药科技股份有限公司,广州安必平医药科技股份有限公司,医学经理,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        合同主体：上海安必平岗位职责：一、制定IVD诊断医学策略及参与新产品开发医学评估1．根据治疗领域进展、客户洞察、市场分析，形成近期和远期医学策略。2．根据医学策略，参与并支持产品上市前、上市后评估等策略性工作。3．根据公司发展和行业方向，在缺口分析和治疗领域前瞻的基础上制定临床研究策略；4．开二、医学专业培训及咨询1．在普及型医学培训的基础上,定期做针对性重要文献的解读分析和内部分享2．针对内部及跨部门同事的咨询，给予专业的医学建议三、医学工具制作及学术活动支持1．根据医学策略，推动医学工具（包括医学视频、产品及疾病PPT等）的制定2．ABmeeting策划及实施；四、完成上级领导交办的其他工作。任职要求：1.学历专业：硕士及以上学历，临床医学、统计学、生物类相关专业2.专业知识：肿瘤、病理相关知识3.专业技能：？能熟练进行专业文献阅读，有丰富的研发及治疗领域分析经验；？优秀的沟通能力、团队合作能力与演讲能力；？了解数字医疗服务市场趋势，对改善用户体验及解决行业痛点有基本的认识；？熟悉医疗器械、病理诊断、医疗信息化行业；4.岗位经验：2年以上MA、病理、临床研究等相关工作经验；5.素质能力：？具备较强责任心与问题解决能力；？较强的沟通、管理、口头及书面表达能力；？具有极强的统筹、策划及组织协调能力，计划性强，抗压能力强；？有良好的职业道德和职业操守；？具有较强的抗压能力，能适应出差",市场分析<$&0007&$>医学评估<$&0007&$>医学策略<$&0007&$>医学建议<$&0007&$>客户洞察,2.5-3万・13薪,硕士,浦东新区,2023-06-25 00:00:00
188,江苏大烨智能电气股份有限公司,江苏大烨智能电气股份有限公司,厨师长/大厨/厨师,<$&0006&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：负责员工食堂、商务工作餐的烹饪工作负责花式糕点、下午茶点的制作负责食堂日常事务管理及人员工作分配工作负责员工食堂每餐菜谱的制定配合食堂环境卫生的检查监督工作负责监督食堂水电气、设施安全使用,大厨<$&0006&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>主厨<$&0006&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>厨师<$&0006&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>厨师长,4.5-6千/月,高中,南京市,2018-07-04 00:00:00
189,广州方邦电子股份有限公司,广州方邦电子股份有限公司,总账会计,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、独立处理全盘账务，分析财务数据，编制合并报表；2、编制财务预算及预算执行情况分析；3、负责高新技术企业研发费辅助账及协助项目申报；4、完成财务经理安排的其他工作。岗位要求：1、财务、会计相关专业，全日制大专以上学历；2、5年以上制造（电子）行业全盘账务、财务预算、合并报表等财务工作经验；；3、对数据敏感，工作细致，责任感强，具备一定的数据分析能力。,总账<$&0007&$>会计,0.8-1万/月,本科,广州市,2019-08-22 00:00:00
190,招商银行股份有限公司台州分行,招商银行股份有限公司台州分行,市场营销岗（台州） (职位编号：28),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：从事客户拓展工作，深耕客群经营，探索业务融合发展新模式，成长为市场营销专家。未来可通过选拔成为经营团队主管或负责人。学历要求：本科及以上学历专业要求：不限专业。理工类复合专业背景优先福利待遇：1.招商银行台州分行提供全面、有竞争力的薪酬福利，除五险一金等基本福利外，还有企业年金、培训教育补贴、补充医疗基金、家属医疗基金、特别奖励等2.非工作地生源提供3年免费住宿3.员工按月享受购房补助申请条件：国内院校应届毕业生，毕业时间为2023年1月1日-2023年8月31日海外院校毕业生，毕业时间为2022年2022年1月1日-2023年8月31日本科生英语四级考试分数425分及以上，研究生英语六级考试425分及以上1.品行端正，性格开朗，身体健康，无不良行为记录，初次就业、未与其他单位建立劳动关系2.具有较强的责任心、学习能力和良好的团队协作精神3.具有良好的书面及口语表达能力：认同招行文化，立志在台州地区长期发展招聘流程：简历投递-校园宣讲-简历筛选-统一在线笔试-多轮面试-职前体检-发放offer笔试以通知时间为准。,,0.8-1万,本科,杭州市,2023-03-02 00:00:00
